,Time(s),Row x Col
76x5,0.193628,380
95x4,0.200112,380
24x16,0.096371,384
32x12,0.005664,384
48x8,0.007558,384
64x6,0.100806,384
96x4,0.200123,384
35x11,0.101928,385
55x7,0.09931,385
77x5,0.103783,385
43x9,0.006521,387
97x4,0.200571,388
26x15,0.096092,390
30x13,0.096081,390
39x10,0.096344,390
65x6,0.100829,390
78x5,0.194502,390
23x17,0.096227,391
28x14,0.095955,392
49x8,0.098307,392
56x7,0.098801,392
98x4,0.290347,392
79x5,0.194693,395
22x18,0.006674,396
33x12,0.096153,396
36x11,0.005784,396
44x9,0.097176,396
66x6,0.101923,396
99x4,0.201521,396
21x19,0.097702,399
57x7,0.099287,399
25x16,0.096957,400
40x10,0.096842,400
50x8,0.098408,400
80x5,0.104823,400
67x6,0.102321,402
31x13,0.096611,403
27x15,0.096265,405
45x9,0.097831,405
81x5,0.1055,405
29x14,0.096714,406
58x7,0.099977,406
37x11,0.096922,407
24x17,0.096673,408
34x12,0.096699,408
51x8,0.098506,408
68x6,0.192147,408
41x10,0.006928,410
82x5,0.106869,410
59x7,0.10045,413
23x18,0.006484,414
46x9,0.097879,414
69x6,0.102731,414
83x5,0.196847,415
26x16,0.096378,416
32x13,0.097361,416
52x8,0.09829,416
22x19,0.096833,418
38x11,0.096395,418
21x20,0.097404,420
28x15,0.006708,420
30x14,0.096511,420
35x12,0.090653,420
42x10,0.006957,420
60x7,0.100771,420
70x6,0.192705,420
84x5,0.197681,420
47x9,0.097477,423
53x8,0.099216,424
25x17,0.006615,425
85x5,0.198499,425
71x6,0.103702,426
61x7,0.100766,427
33x13,0.006618,429
39x11,0.097332,429
43x10,0.099899,430
86x5,0.198323,430
24x18,0.007162,432
27x16,0.00671,432
36x12,0.096959,432
48x9,0.098485,432
54x8,0.099889,432
72x6,0.104133,432
31x14,0.00636,434
62x7,0.10169,434
29x15,0.006374,435
87x5,0.198554,435
23x19,0.097755,437
73x6,0.105397,438
22x20,0.098013,440
40x11,0.007043,440
44x10,0.097585,440
55x8,0.100353,440
88x5,0.199129,440
49x9,0.098357,441
63x7,0.102139,441
26x17,0.007332,442
34x13,0.00693,442
37x12,0.006909,444
74x6,0.195593,444
89x5,0.200702,445
28x16,0.096312,448
32x14,0.097156,448
56x8,0.100691,448
64x7,0.102566,448
25x18,0.097957,450
30x15,0.006949,450
45x10,0.097936,450
50x9,0.098786,450
75x6,0.195833,450
90x5,0.200997,450
41x11,0.097613,451
35x13,0.097605,455
65x7,0.1926,455
91x5,0.201485,455
24x19,0.193771,456
38x12,0.097278,456
57x8,0.100955,456
76x6,0.105925,456
27x17,0.09717,459
51x9,0.099665,459
23x20,0.097779,460
46x10,0.098639,460
92x5,0.202408,460
22x21,0.007892,462
33x14,0.097163,462
42x11,0.098132,462
66x7,0.103924,462
77x6,0.196933,462
29x16,0.097826,464
58x8,0.101009,464
31x15,0.097515,465
93x5,0.20257,465
