,Time (s),Row x Col
83x3,0.020418,249
25x10,0.003141,250
50x5,0.008482,250
18x14,0.002606,252
21x12,0.002774,252
28x9,0.003612,252
36x7,0.005101,252
42x6,0.006745,252
63x4,0.012764,252
84x3,0.021108,252
23x11,0.002914,253
17x15,0.003216,255
51x5,0.008972,255
85x3,0.021524,255
32x8,0.004441,256
64x4,0.01305,256
43x6,0.006884,258
86x3,0.022214,258
37x7,0.005599,259
20x13,0.002879,260
26x10,0.003432,260
52x5,0.009368,260
65x4,0.013833,260
29x9,0.003924,261
87x3,0.023555,261
22x12,0.003007,264
24x11,0.003276,264
33x8,0.004839,264
44x6,0.007499,264
66x4,0.014454,264
88x3,0.023614,264
53x5,0.00998,265
19x14,0.00286,266
38x7,0.006002,266
89x3,0.025113,267
67x4,0.014737,268
18x15,0.002915,270
27x10,0.003786,270
30x9,0.004329,270
45x6,0.007771,270
54x5,0.010874,270
90x3,0.024977,270
17x16,0.003052,272
34x8,0.005171,272
68x4,0.015427,272
21x13,0.003041,273
39x7,0.00635,273
91x3,0.026388,273
25x11,0.003654,275
55x5,0.010848,275
23x12,0.003353,276
46x6,0.008191,276
69x4,0.016116,276
92x3,0.02702,276
31x9,0.004849,279
93x3,0.027768,279
20x14,0.003107,280
28x10,0.004112,280
35x8,0.005836,280
40x7,0.006803,280
56x5,0.011481,280
70x4,0.01667,280
47x6,0.008699,282
94x3,0.028515,282
71x4,0.017325,284
19x15,0.003191,285
57x5,0.011926,285
95x3,0.029693,285
22x13,0.003359,286
26x11,0.003884,286
41x7,0.007277,287
18x16,0.003304,288
24x12,0.003673,288
32x9,0.005051,288
36x8,0.005912,288
48x6,0.009165,288
72x4,0.018053,288
96x3,0.03039,288
29x10,0.004738,290
58x5,0.012424,290
97x3,0.030834,291
73x4,0.01863,292
21x14,0.003454,294
42x7,0.007581,294
49x6,0.009829,294
98x3,0.032149,294
59x5,0.013154,295
37x8,0.006414,296
74x4,0.019534,296
27x11,0.004199,297
33x9,0.005392,297
99x3,0.033445,297
23x13,0.003673,299
20x15,0.003474,300
25x12,0.003982,300
30x10,0.004831,300
50x6,0.01025,300
60x5,0.013679,300
